Customer Name,Gender,Quantity,Price,City,State,Phone,Email,Zincode,Product,Category,Dealer,Discount,Coupon Code,Date of Order,Date of Delivery,Order ID,Product ID,Order Status,Payment Method,Shipping Fee,Customer Feedback,Returns,Refund Amount,Loyalty Points
Mark Kelly,,1000,49.95,Gloriamouth,Michigan,123-abc-7890,,,perhaps,Clothing,Wilson-Zimmerman,10,SAVE10,2023-07-23,2024-10-26,e875f48f-a0ee-403d-b532-65b4a7182259,6903061275575,Pending,Bank Transfer,,Average,,0.0,100
Patricia Schroeder,,-5,,Lake Christina,Louisiana,(043)663-4770x39280,,,its,,"Nelson, Ross and Aguirre",10%,SAVE10,2022-03-10,2024-12-06,071a5f91-daa9-4c0b-8b98-a2cdff925fdf,6846858818503,Pending,Credit Card,,Bad,no,,100
Ronald Estrada,Women,1,20$,Jenkinsfort,Florida,837.113.5915x3945,,,his,Food,"Rogers, Neal and Bray",10%,,2023-08-24,2023-07-07,7698e5ee-0b29-4174-90c8-800145fc6cfa,5149388471837,,Bank Transfer,free,,,10.0,two hundred
Rachel Lewis,,1000,-10,Hernandezhaven,Indiana,123-abc-7890,evansandrew@wells.biz,,space,Food,Barnes Inc,,SAVE10,2022-06-13,2023-11-15,b1eac1bc-0ce9-4129-b44e-f86172cb7450,1141488809361,,PayPal,0,Average,yes,,100
Leah Harris,Male,2,-10,Meyersbury,Maryland,+1-832-490-7835x6223,not-an-email,ABCDE,friend,Electronics,Jackson-Cook,five,DISCOUNT,2022-09-06,2024-07-24,bc49a8a0-47b2-484d-a5ce-99c867e87c48,0671279000697,Cancelled,,0,Bad,,10.0,200
Gina Vazquez,F,4,20$,East Jacobbury,Florida,123-abc-7890,,,ever,Food,Green-Larsen,10,,2023-08-06,2022-05-17,565b1bba-1b69-4f71-b78d-7e87eefddfc6,5372390309908,Delivered,,,Average,0,-1,
Mark Bowman MD,Women,,20$,North Jessica,North Carolina,,lchavez@yahoo.com,ABCDE,some,,Shaw PLC,10,12345,2023-05-30,2023-05-15,ca0f469d-64c2-44dc-a04a-cc92a00a8335,9208067036005,Delivered,Bank Transfer,free,,yes,10.0,100
Benjamin Reed,,5,,North Shelly,Indiana,,,,sister,Clothing,"Wells, Lloyd and Butler",five,12345,2022-10-31,2022-03-17,f0eaea33-02b6-4d4d-9e27-c7b46f9cd0ba,9202661212032,Delivered,Credit Card,5.99,,0,10.0,100
Nancy Morris,Women,2,100000,New Markport,Virginia,,,,support,Clothing,Harris and Sons,10,,2022-08-07,2024-08-23,a2a43819-85f2-4709-8d88-f1128199c5fb,2600681510409,,Credit Card,free,Bad,,10.0,100
James Pierce,Male,,100000,West Thomasport,Hawaii,,manneric@yahoo.com,,total,,Wilson LLC,,SAVE10,2022-09-07,2024-08-01,1e8f3dbd-2f85-4766-a5e6-9a167f2e3d99,7851504298096,,Credit Card,,Good,no,0.0,two hundred
Sean Austin,Men,-5,-10,Snowfort,Nebraska,,not-an-email,ABCDE,full,,"Clark, Chapman and Gross",five,,2022-05-11,2022-03-08,251095a1-103f-497b-aa7e-3b85adff7d6f,5193242894980,Cancelled,Bank Transfer,5.99,Bad,,10.0,two hundred
Nancy Hall,Women,,19.99,North Michael,Oregon,,not-an-email,ABCDE,production,Food,"Gross, Evans and Bond",10,12345,2023-01-07,2024-02-26,855a3258-50d4-4f5d-8933-aa037eb9a103,6133993631273,,,,Good,yes,,100
Jennifer Allen,Women,three,,Jonathanville,Louisiana,123-abc-7890,,ABCDE,especially,Electronics,"Huffman, Howell and Freeman",,,2022-07-02,2022-08-22,9f5763b6-4276-498b-b583-994fc1f70c8f,6719839153941,Delivered,,free,,no,10.0,
Gabriel Dorsey,Male,1000,20$,Ramirezside,Oregon,(464)920-4635,not-an-email,,matter,Electronics,Thompson-Garza,10%,SAVE10,2022-04-14,2023-12-03,4ed10816-3f43-47fb-a4b8-1edd0478a36c,3647180229554,Cancelled,Credit Card,free,Average,0,10.0,200
Kristin Flores,,3,19.99,West Lisachester,Illinois,123-abc-7890,not-an-email,29965,article,Other,Hunter LLC,,DISCOUNT,2023-07-10,2022-01-13,0c11666d-98c7-4a70-80f3-5e43eeb1d03d,6593367198182,,,,Good,1,-1,two hundred
Terry Henderson,Male,1,100000,New Joshuabury,Kansas,(411)431-7597,tbenton@hotmail.com,ABCDE,pattern,Food,"Skinner, Rhodes and Norris",,DISCOUNT,2023-01-20,2024-01-30,8caefd32-3882-403c-8ed7-e254f1f0d85a,5757715924385,Cancelled,Bank Transfer,free,,no,10.0,100
William Miller,Female,three,49.95,Crystalfurt,Illinois,,,ABCDE,meet,,Yu-Thornton,,,2023-05-16,2023-09-24,6fed91c4-7356-4593-bc50-4bbc3e32d41e,8806834754056,,Bank Transfer,free,Good,0,0.0,two hundred
Kathleen Jackson,Men,1000,19.99,Goldentown,Minnesota,123-abc-7890,,86997,yourself,Other,Mccoy-Riddle,10%,SAVE10,2022-04-22,2022-11-04,6f78df73-913d-444f-85c4-2cca9b8c427b,2765778692502,,,10.0,,yes,,two hundred
